Administradora,Anno,Departamento,Conteo de Administradoras,Conteo de Prestadores,Costo Procedimiento,Neto A Pagar - Consulta,Número de Atenciones,Número Personas Atendidas,Valor Consulta,Valor Cuota Moderadora - Consulta
EMP017 - EMP COLMENA S.A,2015,66 - Risaralda,1,6,,542.200,67,5,542.200,
EMP002 - EMP CAFESALUD,2015,66 - Risaralda,1,1,,314,9,1,473,159
EAS027 - FERROCARRILES NALES,2015,66 - Risaralda,1,1,,,2,1,,
66170 - DIRECCION MUNICIPAL DE SALUD DE DOS QUEB,2015,66 - Risaralda,1,1,,186.510,6,6,187.800,1.290
66001 - DIRECCION LOCAL DE SALUD PEREIRA,2015,66 - Risaralda,1,4,,206.400,8,3,206.400,
66000 - DIRECCION DEPARTAMENTAL DE SALUD DE RISA,2015,66 - Risaralda,1,6,,292.240,11,8,298.200,5.960
RES002 - ECOPETROL,2015,68 - Santander,1,54,4.844.263,88.102.849,1.762,215,88.649.239,711.922
ESS207 - MUTUAL SER,2015,68 - Santander,1,1,,16.263,1,1,16.263,
ESS133 - COMPARTA,2015,68 - Santander,1,39,870.396,40.648.725,1.545,462,41.968.611,
ESS062 - ASMET SALUD,2015,68 - Santander,1,17,,7.960.854,302,109,7.749.784,
ESS024 - COOSALUD E.S.S.,2015,68 - Santander,1,39,143.831,8.456.370,225,123,6.531.370,
ESS002 - EMDISALUD,2015,68 - Santander,1,10,3.566.343,3.880.600,255,57,3.880.600,
EPSS33 - SALUDVIDA,2015,68 - Santander,1,21,,6.110.070,114,62,3.437.070,
EPS037 - NUEVA EPS,2015,68 - Santander,1,6,11.685.952,10.053.882,1.492,217,10.192.082,138.200
EPS033 - SALUDVIDA,2015,68 - Santander,1,16,,898.985,44,35,898.985,
EPS023 - CRUZ BLANCA,2015,68 - Santander,1,2,6.630,50.040,6,1,50.040,5.000
EPS020 - CAPRECOM,2015,68 - Santander,1,27,17.800,3.272.605,114,88,3.272.605,
EPS017 - FAMISANAR,2015,68 - Santander,1,18,4.946.481,7.605.731,520,65,8.041.631,435.900
EPS016 - COOMEVA,2015,68 - Santander,1,46,1.146.220,16.285.985,1.852,490,23.787.081,7.987.000
EPS013 - SALUDCOOP,2015,68 - Santander,1,36,7.697.689,8.149.082,2.400,580,7.953.920,4.395.200
EPS010 - EPS SURA,2015,68 - Santander,1,14,17.898.523,3.283.774,385,47,2.582.961,374.500
EPS005 - SANITAS,2015,68 - Santander,1,4,28.000,88.828,56,49,88.828,
EPS003 - CAFESALUD,2015,68 - Santander,1,23,3.739.677,5.755.806,819,293,5.588.292,1.388.500
EPS002 - SALUD TOTAL,2015,68 - Santander,1,32,34.800.457,44.527.033,4.934,439,44.805.633,278.600
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2015,68 - Santander,1,13,,,90,30,,
EMP017 - EMP COLMENA S.A,2015,68 - Santander,1,7,,738.200,35,17,738.200,
68000 - DIRECCION DEPARTAMENTAL DE SALUD DE SANT,2015,68 - Santander,1,2,,207.308,8,8,216.000,8.692
14-1 - COLSEGUROS,2015,68 - Santander,1,1,,1.427.600,21,1,1.427.600,
RES002 - ECOPETROL,2015,70 - Sucre,1,2,,727.429,4,4,727.429,
ESS207 - MUTUAL SER,2015,70 - Sucre,1,44,13.597.519,20.733.761,1.356,284,20.733.761,
ESS133 - COMPARTA,2015,70 - Sucre,1,15,41.200,24.188.980,382,129,25.338.080,
ESS076 - AMBUQ,2015,70 - Sucre,1,31,2.205.610,15.159.890,390,163,15.159.890,
ESS024 - COOSALUD E.S.S.,2015,70 - Sucre,1,8,,2.002.450,34,31,2.002.450,
EPSS33 - SALUDVIDA,2015,70 - Sucre,1,10,,875.962,29,15,875.962,
EPSI02 - MANEXKA,2015,70 - Sucre,1,12,801.782,5.711.330,209,79,5.711.330,
EPS037 - NUEVA EPS,2015,70 - Sucre,1,1,,12.510,1,1,12.510,
EPS033 - SALUDVIDA,2015,70 - Sucre,1,8,315.858,1.010.530,29,22,1.010.530,5.000
EPS020 - CAPRECOM,2015,70 - Sucre,1,13,132.004,2.380.344,76,59,2.380.344,
EPS016 - COOMEVA,2015,70 - Sucre,1,22,4.706.190,2.433.579,346,100,2.832.099,401.700
EPS013 - SALUDCOOP,2015,70 - Sucre,1,12,1.024.250,1.340.287,211,78,1.315.705,411.900
EPS005 - SANITAS,2015,70 - Sucre,1,1,,,9,3,94.554,
EPS003 - CAFESALUD,2015,70 - Sucre,1,3,,161.900,6,5,164.200,12.500
EPS002 - SALUD TOTAL,2015,70 - Sucre,1,14,1.785.332,795.275,166,64,810.175,17.400
CCF015 - COMFACOR,2015,70 - Sucre,1,6,184.650,1.216.145,26,19,1.216.145,
RES002 - ECOPETROL,2015,73 - Tolima,1,7,1.771.748,502.701,59,6,502.701,
ESS133 - COMPARTA,2015,73 - Tolima,1,29,729.710,8.726.796,319,141,8.992.176,36.980
ESS091 -  ECOOPSOS,2015,73 - Tolima,1,8,,795.200,35,20,795.200,
ESS062 - ASMET SALUD,2015,73 - Tolima,1,41,4.546.849,12.460.136,603,229,11.936.970,2.580
ESS024 - COOSALUD E.S.S.,2015,73 - Tolima,1,1,,42.300,1,1,42.300,
ESS002 - EMDISALUD,2015,73 - Tolima,1,1,,60.102,2,1,66.780,6.678
EPSS33 - SALUDVIDA,2015,73 - Tolima,1,15,,4.230.100,51,35,1.099.720,
EPSS03 - CAFESALUD,2015,73 - Tolima,1,1,1.202.632,,7,1,,
EPS037 - NUEVA EPS,2015,73 - Tolima,1,9,,5.361.345,71,34,5.368.845,7.500
EPS033 - SALUDVIDA,2015,73 - Tolima,1,15,232.200,1.358.136,61,44,1.371.960,13.824
EPS023 - CRUZ BLANCA,2015,73 - Tolima,1,5,289.140,75.060,40,3,75.060,15.000
EPS020 - CAPRECOM,2015,73 - Tolima,1,46,505.116,11.056.599,427,251,11.098.055,41.456
EPS018 - SOS,2015,73 - Tolima,1,1,,,4,1,,
EPS017 - FAMISANAR,2015,73 - Tolima,1,30,17.711.428,4.843.689,479,96,5.127.089,283.400
EPS016 - COOMEVA,2015,73 - Tolima,1,28,528.338,4.411.325,183,72,5.174.565,756.140
EPS013 - SALUDCOOP,2015,73 - Tolima,1,35,101.852.204,12.515.894,3.277,495,11.772.645,4.095.800
EPS008 - COMPENSAR,2015,73 - Tolima,1,3,,72.242,3,3,84.642,12.400
EPS005 - SANITAS,2015,73 - Tolima,1,5,,113.283,32,26,113.283,
EPS003 - CAFESALUD,2015,73 - Tolima,1,27,22.186.081,4.981.269,1.034,284,4.417.615,1.650.400
EPS002 - SALUD TOTAL,2015,73 - Tolima,1,28,13.971.291,6.689.814,1.606,277,6.798.614,108.800
EMP017 - EMP COLMENA S.A,2015,73 - Tolima,1,8,,313.400,21,10,313.400,
EAS027 - FERROCARRILES NALES,2015,73 - Tolima,1,1,,,4,2,,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2015,73 - Tolima,1,1,,,1,1,,
RES008 - UNISALUD,2015,76 - Valle del Cauca,1,2,,753.684,35,12,753.684,
RES007 - UVALLE,2015,76 - Valle del Cauca,1,7,1.492.951,4.206.016,139,50,4.206.016,
RES002 - ECOPETROL,2015,76 - Valle del Cauca,1,6,118.500,2.178.845,42,25,2.178.753,
ESS118 - EMSSANAR E.S.S.,2015,76 - Valle del Cauca,1,80,245.014.624,355.328.928,19.536,2.236,355.408.690,79.762
ESS076 - AMBUQ,2015,76 - Valle del Cauca,1,15,399.780,29.052.775,707,195,29.153.235,
ESS062 - ASMET SALUD,2015,76 - Valle del Cauca,1,42,1.196.837,32.780.412,743,217,29.753.820,4.800
ESS024 - COOSALUD E.S.S.,2015,76 - Valle del Cauca,1,21,117.886,3.120.370,122,79,3.140.490,20.120
EPST01 - SAVIA SALUD EPS,2015,76 - Valle del Cauca,1,1,,21.648,1,1,21.648,
EPSS40 - Alianza Medellin -savia Salud,2015,76 - Valle del Cauca,1,1,,568.000,4,1,568.000,
EPSS33 - SALUDVIDA,2015,76 - Valle del Cauca,1,1,,41.200,2,1,41.200,
EPSS03 - CAFESALUD,2015,76 - Valle del Cauca,1,2,329.432,,24,6,,
EPSI05 - MALLAMAS,2015,76 - Valle del Cauca,1,8,1.846.500,959.100,14,6,959.100,
EPS037 - NUEVA EPS,2015,76 - Valle del Cauca,1,16,,7.808.093,233,220,7.910.993,102.900
EPS023 - CRUZ BLANCA,2015,76 - Valle del Cauca,1,9,18.655.815,5.557.478,1.598,254,5.453.266,1.713.900
EPS020 - CAPRECOM,2015,76 - Valle del Cauca,1,37,2.783.860,9.787.430,351,223,9.805.630,18.200
EPS018 - SOS,2015,76 - Valle del Cauca,1,54,14.876.676,55.768.569,725,282,450.718.620,58.253.406
EPS016 - COOMEVA,2015,76 - Valle del Cauca,1,150,42.989.772,91.748.039,4.859,1.685,101.882.693,10.894.209
EPS013 - SALUDCOOP,2015,76 - Valle del Cauca,1,37,37.167.473,21.624.759,3.846,733,26.475.675,5.238.000
EPS012 - COMFENALCO VALLE,2015,76 - Valle del Cauca,1,28,298.999,110.127.141,1.334,692,108.009.729,5.028.988
EPS010 - EPS SURA,2015,76 - Valle del Cauca,1,47,34.450.706,32.776.300,2.423,296,17.699.520,3.029.450
EPS008 - COMPENSAR,2015,76 - Valle del Cauca,1,1,,116.155,2,2,125.155,9.000
EPS005 - SANITAS,2015,76 - Valle del Cauca,1,5,,187.000,7,6,264.374,5.000
EPS003 - CAFESALUD,2015,76 - Valle del Cauca,1,20,2.143.233,2.788.296,384,159,2.806.489,863.900
EPS002 - SALUD TOTAL,2015,76 - Valle del Cauca,1,22,7.359.506,1.951.598,662,264,1.954.098,2.500
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2015,76 - Valle del Cauca,1,3,,,27,12,,
EMP028 - SALUD COOMEVA  MEDICINA PREPAGADA S. A.,2015,76 - Valle del Cauca,1,3,1.230.984,,20,7,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2015,76 - Valle del Cauca,1,2,,51.400,2,2,136.230,
EMP021 - EMP SUSALUD SA,2015,76 - Valle del Cauca,1,1,,,2,1,,
EMP017 - EMP COLMENA S.A,2015,76 - Valle del Cauca,1,13,,4.837.900,448,54,4.836.300,
EAS027 - FERROCARRILES NALES,2015,76 - Valle del Cauca,1,7,,,53,38,,
76000 - DIRECCION DEPARTAMENTAL DE SALUD DE VALL,2015,76 - Valle del Cauca,1,2,,98.200,6,2,98.200,
14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.,2015,76 - Valle del Cauca,1,1,269.582,1.008.039,26,12,1.366.255,390.000
14-1 - COLSEGUROS,2015,76 - Valle del Cauca,1,1,,32.700,1,1,62.700,30.000
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2015,76 - Valle del Cauca,1,1,,,1,1,,
0 - NO DEFINIDO,2015,76 - Valle del Cauca,1,1,,31.774,1,1,31.774,
ESS133 - COMPARTA,2015,81 - Arauca,1,13,,8.446.997,255,84,8.575.235,
EPST01 - SAVIA SALUD EPS,2015,81 - Arauca,1,1,,22.700,1,1,22.700,
EPSS33 - SALUDVIDA,2015,81 - Arauca,1,3,,559.680,16,9,559.680,
EPSI01 - DUSAKAWI E.P.S.I.,2015,81 - Arauca,1,4,92.400,374.600,19,12,374.600,
EPS037 - NUEVA EPS,2015,81 - Arauca,1,1,,25.774,1,1,25.774,
EPS033 - SALUDVIDA,2015,81 - Arauca,1,3,,297.640,8,7,297.640,
EPS020 - CAPRECOM,2015,81 - Arauca,1,12,88.700,3.280.213,111,64,3.280.213,
EPS013 - SALUDCOOP,2015,81 - Arauca,1,4,3.756.900,588.550,165,31,588.550,134.700
EPS005 - SANITAS,2015,81 - Arauca,1,1,,,5,3,37.240,
EPS003 - CAFESALUD,2015,81 - Arauca,1,3,40.225,65.800,5,3,68.100,5.000
81000 - DIRECCION DEPARTAMENTAL DE SALUD DE ARAU,2015,81 - Arauca,1,3,,113.600,4,3,113.600,
RES002 - ECOPETROL,2015,85 - Casanare,1,1,,,1,1,,
ESS133 - COMPARTA,2015,85 - Casanare,1,1,,89.100,3,1,89.100,
EPS037 - NUEVA EPS,2015,85 - Casanare,1,2,,78.662,4,3,83.662,7.500
EPS025 - CAPRESOCA,2015,85 - Casanare,1,40,207.224,15.567.655,546,220,15.597.195,29.540
EPS023 - CRUZ BLANCA,2015,85 - Casanare,1,6,831.435,150.120,61,17,150.120,30.000
EPS020 - CAPRECOM,2015,85 - Casanare,1,7,,1.483.783,52,33,1.488.083,4.300
EPS017 - FAMISANAR,2015,85 - Casanare,1,1,,45.100,1,1,55.000,9.900
EPS016 - COOMEVA,2015,85 - Casanare,1,6,462.006,454.976,31,8,484.776,29.800
EPS013 - SALUDCOOP,2015,85 - Casanare,1,13,6.566.958,2.419.881,686,102,2.216.646,883.900
EPS005 - SANITAS,2015,85 - Casanare,1,1,,,32,17,37.256,
EPS003 - CAFESALUD,2015,85 - Casanare,1,3,276.715,175.285,20,10,175.285,34.800
EMP017 - EMP COLMENA S.A,2015,85 - Casanare,1,3,,112.900,12,2,112.900,
85000 - DIRECCION DEPARTAMENTAL DE SALUD DE CASA,2015,85 - Casanare,1,1,,,3,2,,
ESS118 - EMSSANAR E.S.S.,2015,86 - Putumayo,1,31,15.349.497,29.258.309,1.439,246,29.258.309,
ESS062 - ASMET SALUD,2015,86 - Putumayo,1,2,,164.900,7,1,164.900,
EPSI05 - MALLAMAS,2015,86 - Putumayo,1,14,448.460,2.786.440,94,34,2.786.440,
EPS037 - NUEVA EPS,2015,86 - Putumayo,1,1,,29.100,1,1,31.600,2.500
EPS020 - CAPRECOM,2015,86 - Putumayo,1,10,74.670,906.068,40,27,906.068,
EPS016 - COOMEVA,2015,86 - Putumayo,1,3,,263.800,9,8,283.600,19.800
EPS013 - SALUDCOOP,2015,86 - Putumayo,1,15,1.799.827,1.837.159,332,71,1.813.372,604.000
EPS003 - CAFESALUD,2015,86 - Putumayo,1,5,,98.665,6,5,98.665,17.400
86000 - DIRECCION DEPARTAMENTAL DE SALUD DE PUTU,2015,86 - Putumayo,1,2,165.000,,2,2,,
EPS020 - CAPRECOM,2015,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,1,,55.200,2,1,61.400,6.200
EPS005 - SANITAS,2015,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,1,,,51,18,,
EMP017 - EMP COLMENA S.A,2015,"88 - Archipiélago de San Andrés, Providencia y Santa Catalina",1,2,,91.600,2,2,91.600,
ESS133 - COMPARTA,2015,91 - Amazonas,1,1,,,1,1,26.250,
EPSI05 - MALLAMAS,2015,91 - Amazonas,1,4,153.312,562.629,23,10,562.629,
EPS037 - NUEVA EPS,2015,91 - Amazonas,1,1,,33.600,2,2,36.100,2.500
EPS023 - CRUZ BLANCA,2015,91 - Amazonas,1,3,366.035,25.020,4,2,17.510,5.000
EPS020 - CAPRECOM,2015,91 - Amazonas,1,2,,861.800,27,23,866.100,4.300
EPS013 - SALUDCOOP,2015,91 - Amazonas,1,6,3.389.731,473.391,233,30,469.075,176.600
EPS003 - CAFESALUD,2015,91 - Amazonas,1,1,,51.600,2,2,51.600,5.000
EPSI05 - MALLAMAS,2015,94 - Guainía,1,3,,436.900,14,9,436.900,
EPS023 - CRUZ BLANCA,2015,94 - Guainía,1,2,96.200,25.020,14,1,25.020,19.800
EPS020 - CAPRECOM,2015,94 - Guainía,1,3,,468.500,17,10,468.500,
EPS013 - SALUDCOOP,2015,94 - Guainía,1,4,1.081.310,37.530,32,12,12.510,14.500
ESS091 -  ECOOPSOS,2015,95 - Guaviare,1,1,,66.800,2,1,66.800,
EPS037 - NUEVA EPS,2015,95 - Guaviare,1,2,,52.655,2,2,55.155,2.500
EPS023 - CRUZ BLANCA,2015,95 - Guaviare,1,1,240.165,,18,3,,
EPS020 - CAPRECOM,2015,95 - Guaviare,1,7,52.800,1.529.600,51,26,1.529.600,
EPS013 - SALUDCOOP,2015,95 - Guaviare,1,3,1.384.425,193.895,80,10,193.895,123.500
EPSI05 - MALLAMAS,2015,97 - Vaupés,1,1,,134.400,3,3,134.400,
EPS020 - CAPRECOM,2015,97 - Vaupés,1,3,,195.100,5,3,195.100,
EPS013 - SALUDCOOP,2015,97 - Vaupés,1,5,159.855,109.064,17,3,74.805,22.400
EPSI05 - MALLAMAS,2015,99 - Vichada,1,3,,109.700,4,3,109.700,
EPS037 - NUEVA EPS,2015,99 - Vichada,1,1,,15.700,1,1,15.700,
EPS020 - CAPRECOM,2015,99 - Vichada,1,2,,116.200,4,2,116.200,
EPS013 - SALUDCOOP,2015,99 - Vichada,1,1,341.530,,26,4,,
CCF024 - COMFAMILIAR HUILA,2015,99 - Vichada,1,3,,191.200,6,4,191.200,
RES008 - UNISALUD,2016,05 - Antioquia,1,6,29.724,1.616.437,38,24,1.579.537,73.500
ESS133 - COMPARTA,2016,05 - Antioquia,1,6,149.488,312.200,10,8,320.200,8.000
ESS091 -  ECOOPSOS,2016,05 - Antioquia,1,23,726.900,2.694.643,109,60,2.721.843,27.200
ESS062 - ASMET SALUD,2016,05 - Antioquia,1,6,124.006,412.740,24,10,415.920,3.180
ESS024 - COOSALUD E.S.S.,2016,05 - Antioquia,1,44,11.139.353,9.577.410,981,280,9.671.957,94.547
ESS002 - EMDISALUD,2016,05 - Antioquia,1,20,9.136.617,3.861.748,283,82,3.864.548,2.800
EPSS40 - Alianza Medellin -savia Salud,2016,05 - Antioquia,1,129,45.500.455,1.572.154.143,15.368,3.188,1.572.243.303,9.861.088
EPS037 - NUEVA EPS,2016,05 - Antioquia,1,39,32.251.505,383.306.021,6.173,2.181,396.352.421,15.426.400
EPS018 - SOS,2016,05 - Antioquia,1,2,,2.175.800,27,16,2.175.800,
EPS017 - FAMISANAR,2016,05 - Antioquia,1,2,62.227,204.600,13,4,210.000,5.400
EPS016 - COOMEVA,2016,05 - Antioquia,1,104,84.735.012,583.116.160,12.035,2.326,602.208.867,19.524.900
EPS010 - EPS SURA,2016,05 - Antioquia,1,214,45.920.981,105.941.462,24.753,5.042,430.024,31.614.900
EPS005 - SANITAS,2016,05 - Antioquia,1,3,,15.868.946,126,123,15.890.146,23.900
EPS003 - CAFESALUD,2016,05 - Antioquia,1,87,,18.742.190,994,518,18.274.970,2.523.000
EPS002 - SALUD TOTAL,2016,05 - Antioquia,1,77,33.004.503,22.790.205,2.396,739,23.032.505,242.300
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2016,05 - Antioquia,1,6,,,19,10,,
EMP028 - SALUD COOMEVA  MEDICINA PREPAGADA S. A.,2016,05 - Antioquia,1,1,201.200,,3,3,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2016,05 - Antioquia,1,1,,36.300,1,1,36.300,
EMP017 - EMP COLMENA S.A,2016,05 - Antioquia,1,13,,1.737.600,87,22,1.547.900,
EMP002 - EMP CAFESALUD,2016,05 - Antioquia,1,5,,1.744.350,124,19,2.563.550,819.200
EAS027 - FERROCARRILES NALES,2016,05 - Antioquia,1,2,,,10,5,,
EAS016 - EPM,2016,05 - Antioquia,1,6,45.717,4.093.542,64,38,4.093.542,
14-11 - SURAMERICANA DE SEGUROS DE VIDA S.A.,2016,05 - Antioquia,1,2,,63.700,2,2,109.700,46.000
14-1 - COLSEGUROS,2016,05 - Antioquia,1,2,,190.200,4,2,190.200,
05656 - DIRECCION MUNICIPAL DE SALUD DE SAN JERO,2016,05 - Antioquia,1,1,,38.640,2,1,55.200,16.560
05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO,2016,05 - Antioquia,1,1,,26.220,1,1,27.600,1.380
05607 - DIRECCION MUNICIPAL DE SALUD DE RETIRO,2016,05 - Antioquia,1,1,,28.980,1,1,41.400,12.420
05440 - DIRECCION MUNICIPAL DE SALUD DE MARINILL,2016,05 - Antioquia,1,1,,19.300,1,1,27.600,8.300
05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI,2016,05 - Antioquia,1,1,,85.890,5,4,106.200,20.310
05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO,2016,05 - Antioquia,1,5,359,685.054,415,55,763.232,78.196
05148 - DIRECCION MUNICIPAL DE SALUD DE CARMEN D,2016,05 - Antioquia,1,1,,6.000,6,2,6.000,
05129 - DIRECCION MUNICIPAL DE SALUD DE CALDAS,2016,05 - Antioquia,1,1,,110.422,6,1,157.822,47.400
05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA,2016,05 - Antioquia,1,3,7,301.100,17,10,331.600,30.500
05001 - SECRETARIA MUNICIPAL DE MEDELLIN,2016,05 - Antioquia,1,1,58.800,446.640,22,17,485.280,38.640
05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU,2016,05 - Antioquia,1,10,48.935.722,3.313.470,283,53,3.454.057,140.587
ESS207 - MUTUAL SER,2016,08 - Atlántico,1,16,13.948.262,2.537.045,949,190,2.537.045,
ESS133 - COMPARTA,2016,08 - Atlántico,1,16,1.947.421,2.751.336,123,80,2.751.336,
ESS076 - AMBUQ,2016,08 - Atlántico,1,25,1.195.690,72.930.658,1.574,538,72.930.658,
ESS024 - COOSALUD E.S.S.,2016,08 - Atlántico,1,27,832.501,3.345.639,150,107,3.345.639,
EPS037 - NUEVA EPS,2016,08 - Atlántico,1,12,,5.294.151,211,156,5.317.889,8.100
EPS033 - SALUDVIDA,2016,08 - Atlántico,1,12,3.039.719,1.277.666,255,93,1.277.666,
EPS017 - FAMISANAR,2016,08 - Atlántico,1,16,3.356.093,4.314.750,342,48,4.484.126,169.376
EPS016 - COOMEVA,2016,08 - Atlántico,1,25,8.289.717,3.905.972,1.069,208,4.689.507,817.100
EPS010 - EPS SURA,2016,08 - Atlántico,1,39,3.069.164,16.847.885,1.433,323,30.900,2.290.900
EPS005 - SANITAS,2016,08 - Atlántico,1,2,,130.000,2,2,130.000,
EPS003 - CAFESALUD,2016,08 - Atlántico,1,19,,1.882.845,132,68,1.774.345,421.800
EPS002 - SALUD TOTAL,2016,08 - Atlántico,1,34,45.059.065,91.045.404,2.992,602,91.053.504,8.100
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2016,08 - Atlántico,1,2,,,2,2,,
EMP028 - SALUD COOMEVA  MEDICINA PREPAGADA S. A.,2016,08 - Atlántico,1,3,3.020.110,10.700,257,36,10.700,
EMP017 - EMP COLMENA S.A,2016,08 - Atlántico,1,17,,5.528.100,145,87,5.489.246,
EAS027 - FERROCARRILES NALES,2016,08 - Atlántico,1,2,,,56,43,,
CCF015 - COMFACOR,2016,08 - Atlántico,1,13,10.620,1.763.926,95,47,1.763.926,
RES009 - UCAUCA,2016,-1 - NO DEFINIDO,1,4,98.676,512.424,19,9,533.524,69.100
RES008 - UNISALUD,2016,-1 - NO DEFINIDO,1,10,3.165.595,595.600,35,12,590.500,5.100
RES007 - UVALLE,2016,-1 - NO DEFINIDO,1,1,,117.812,2,2,117.812,
EPSS34 - CAPITAL SALUD,2016,-1 - NO DEFINIDO,1,8,,110.400,56,54,110.400,
EPSI05 - MALLAMAS,2016,-1 - NO DEFINIDO,1,2,,94.400,2,1,94.400,
EPSI04 - ANASWAYUU,2016,-1 - NO DEFINIDO,1,6,603.249,,45,7,,
EPS025 - CAPRESOCA,2016,-1 - NO DEFINIDO,1,5,,928.586,22,13,932.086,3.500
EPS018 - SOS,2016,-1 - NO DEFINIDO,1,5,,3.914.062,59,51,3.914.062,5.400
EPS008 - COMPENSAR,2016,-1 - NO DEFINIDO,1,10,1.105.397,1.340.699,130,65,1.359.799,19.100
EPS005 - SANITAS,2016,-1 - NO DEFINIDO,1,3,,51.010,16,11,51.010,
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2016,-1 - NO DEFINIDO,1,1,,59.000,1,1,59.000,22.000
EMP002 - EMP CAFESALUD,2016,-1 - NO DEFINIDO,1,1,,,5,2,,
EAS016 - EPM,2016,-1 - NO DEFINIDO,1,1,,64.020,1,1,64.020,
CCF024 - COMFAMILIAR HUILA,2016,-1 - NO DEFINIDO,1,14,1.768.194,871.743,68,61,871.743,
81000 - DIRECCION DEPARTAMENTAL DE SALUD DE ARAU,2016,-1 - NO DEFINIDO,1,1,,69.000,2,1,69.000,
18000 - DIRECCION DEPARTAMENTAL DE SALUD DE CAQU,2016,-1 - NO DEFINIDO,1,1,,40.800,1,1,40.800,
14-1 - COLSEGUROS,2016,-1 - NO DEFINIDO,1,1,370.000,,2,1,,
11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ,2016,-1 - NO DEFINIDO,1,27,,6.691.900,163,124,6.691.900,
RES008 - UNISALUD,2016,"11 - Bogotá, D.C.",1,27,8.031.921,7.610.066,701,107,7.923.966,327.100
ESS133 - COMPARTA,2016,"11 - Bogotá, D.C.",1,6,2.952.700,434.672,23,16,434.672,
ESS091 -  ECOOPSOS,2016,"11 - Bogotá, D.C.",1,1,,,1,1,,
ESS062 - ASMET SALUD,2016,"11 - Bogotá, D.C.",1,7,,390.533,10,6,390.533,
ESS002 - EMDISALUD,2016,"11 - Bogotá, D.C.",1,1,,39.800,1,1,39.800,
EPSS34 - CAPITAL SALUD,2016,"11 - Bogotá, D.C.",1,39,375.022,18.660.748,1.650,1.202,18.793.124,132.370
EPSS17 - EPS  FAMISANAR LTDA,2016,"11 - Bogotá, D.C.",1,3,80.736,70.000,3,2,70.000,
EPS037 - NUEVA EPS,2016,"11 - Bogotá, D.C.",1,48,964.987,101.790.688,2.809,1.175,103.108.388,1.164.700
EPS033 - SALUDVIDA,2016,"11 - Bogotá, D.C.",1,6,,353.420,11,10,353.420,
EPS025 - CAPRESOCA,2016,"11 - Bogotá, D.C.",1,2,,56.600,2,2,56.600,
EPS018 - SOS,2016,"11 - Bogotá, D.C.",1,3,,898.657,20,13,932.857,34.200
EPS017 - FAMISANAR,2016,"11 - Bogotá, D.C.",1,190,320.118.327,1.153.096.011,23.203,5.308,1.172.002.925,19.046.502
EPS016 - COOMEVA,2016,"11 - Bogotá, D.C.",1,28,370.624,4.095.218,351,169,5.137.984,1.029.200
EPS010 - EPS SURA,2016,"11 - Bogotá, D.C.",1,58,7.755.329,1.669.013,2.650,597,21.400,4.766.800
EPS008 - COMPENSAR,2016,"11 - Bogotá, D.C.",1,26,4.215.643,33.601.816,2.613,1.493,34.740.616,1.138.800
EPS005 - SANITAS,2016,"11 - Bogotá, D.C.",1,16,,819.880,60,39,999.330,76.300
EPS003 - CAFESALUD,2016,"11 - Bogotá, D.C.",1,71,,14.094.718,1.355,603,12.562.607,3.743.800
EPS002 - SALUD TOTAL,2016,"11 - Bogotá, D.C.",1,78,119.659.427,34.112.777,7.420,1.644,34.230.377,117.600
EPS001 - ALIANSALUD,2016,"11 - Bogotá, D.C.",1,22,1.052.443,42.310,370,72,42.310,
EMP029 - COLPATRIA MEDICINA PREPAGADA S.A.,2016,"11 - Bogotá, D.C.",1,28,,,271,116,,
EMP028 - SALUD COOMEVA  MEDICINA PREPAGADA S. A.,2016,"11 - Bogotá, D.C.",1,1,2.537,,1,1,,
EMP023 - COLSANITAS S.A. COMPAÑÍA DE MEDICINA PRE,2016,"11 - Bogotá, D.C.",1,22,1.003.680,7.573.107,304,176,15.377.117,4.938.700
EMP017 - EMP COLMENA S.A,2016,"11 - Bogotá, D.C.",1,143,,83.598.739,4.059,804,83.585.023,
EMP015 - EMP MEDISANITAS S. A.,2016,"11 - Bogotá, D.C.",1,3,131.280,454.840,43,22,1.571.030,565.500
EMP002 - EMP CAFESALUD,2016,"11 - Bogotá, D.C.",1,21,4.841.154,8.446.477,1.682,180,13.979.077,5.532.600
EAS027 - FERROCARRILES NALES,2016,"11 - Bogotá, D.C.",1,4,,,17,17,,
